flightnumber,date,time,duration,start altitude (m),end altitude (m),max altitude (m),max distance (km),max lift (m/s),avg lift (m/s),max sink (m/s),max temp (°C),min temp (°C),max ground speed (kph),max wind speed (kph),launch lat,launch long,landing lat,landing long
2,3/28/21,13:14,0:24,1192,834,1194,1.95,2.5,2.5,-4.8,17,12,NW@47.5,NNE@1.8,47.54.866,8.11.136,47.55.1130,8.10.6515
3,3/28/21,16:09,0:34,1189,837,1192,2.10,3.2,3.2,-4.7,15,13,NNE@54.1,E@2.7,47.54.887,8.11.0,47.55.1935,8.10.6158
4,3/31/21,16:22,0:18,1194,1040,1195,0.87,4.6,4.6,-4.4,26,20,SE@52.4,NNW@16.2,47.54.840,8.11.57,47.53.7800,8.10.6101
5,3/31/21,17:34,0:08,1190,869,1190,1.61,2.7,2.7,-3.8,25,22,ENE@41.4,N@0.0,47.54.830,8.10.9962,47.54.290,8.09.7085
6,4/4/21,15:05,0:05,1139,963,1139,0.75,3.0,3.0,-3.6,16,14,N@41.8,N@0.0,47.51.6152,8.05.5727,47.51.6545,8.06.1703
7,4/24/21,14:40,0:04,984,828,984,0.61,4.2,4.2,-3.8,23,20,NNE@47.3,WSW@3.2,47.46.2169,7.54.5459,47.46.806,7.54.1165
8,4/24/21,16:55,0:25,976,519,1561,1.97,4.9,4.9,-5.8,26,15,ESE@56.7,NW@22.8,47.46.2334,7.54.4959,47.45.7848,7.53.762
9,5/9/21,16:35,0:22,987,541,1025,2.12,4.0,4.0,-4.9,27,25,NNE@55.1,S@21.3,47.45.7903,7.51.5769,47.45.8441,7.53.1291
10,5/23/21,18:08,0:01,1192,1193,1194,0.05,1.0,1.0,-0.7,15,15,WSW@18.9,SE@2.5,47.54.865,8.10.9975,47.54.858,8.11.42
11,5/23/21,18:13,0:07,1196,865,1196,1.65,2.9,2.9,-4.7,16,15,ENE@49.9,WSW@15.8,47.54.849,8.11.24,47.54.6,8.09.6817
12,5/31/21,16:03,0:06,1144,974,1144,0.82,2.4,2.4,-3.1,24,23,W@52.2,ESE@15.5,47.51.6137,8.05.5718,47.51.6292,8.06.1980
13,5/31/21,17:09,0:06,1151,980,1151,0.72,3.2,3.2,-3.3,29,25,WNW@45.5,SE@13.2,47.51.6142,8.05.5691,47.51.6620,8.06.1362
